City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Elko,41.0002,-115.5012,56.57,29,18,4.0,US,1653241521
Myaundzha,63.0494,147.1858,29.16,96,100,2.98,RU,1653241521
Abilene,32.4487,-99.7331,70.36,36,20,11.5,US,1653241522
Noumea,-22.2763,166.4572,77.0,99,65,4.05,NC,1653241522
Clyde River,70.4692,-68.5914,19.63,93,100,35.68,CA,1653241451
Leer,8.3018,30.1418,82.02,65,90,3.6,SS,1653241522
Orán,-23.1322,-64.326,76.42,31,0,4.41,AR,1653241233
Conde,-7.2597,-34.9075,81.86,74,75,18.41,BR,1653241523
Laguna,38.421,-121.4238,76.64,36,0,4.61,US,1653241523
Ketchikan,55.3422,-131.6461,55.87,54,0,11.5,US,1653241524
Vozdvizhenka,43.9,131.95,50.7,88,24,1.45,RU,1653241524
Tiznit Province,29.5833,-9.5,80.04,37,87,5.28,MA,1653241525
Rundu,-17.9333,19.7667,55.9,33,0,4.72,NA,1653241525
Mogadouro,41.3403,-6.7119,65.98,59,95,11.52,PT,1653241526
Laas,46.6166,10.7002,74.62,73,97,3.24,IT,1653241526
Avdon,54.6667,55.7167,41.25,81,75,4.47,RU,1653241526
Chicama,-7.8447,-79.1469,64.94,63,34,10.11,PE,1653241527
Matamoros,25.5333,-103.25,87.91,30,0,6.91,MX,1653241527
Tres Arroyos,-38.3739,-60.2798,62.28,36,98,14.25,AR,1653241528
Fare,-16.7,-151.0167,80.55,70,4,14.38,PF,1653241528
Bahía Honda,22.9036,-83.1592,88.21,63,91,11.1,CU,1653241528
Bamnet Narong,15.4992,101.6897,75.04,87,95,7.23,TH,1653241529
Berdigestyakh,62.0989,126.6992,39.02,91,45,1.12,RU,1653241529
Tangkak,2.2673,102.5453,80.47,94,97,0.83,MY,1653241530
Chestermere,51.0334,-113.8187,55.87,30,20,13.8,CA,1653241523
Auka,14.9333,-83.8333,82.29,91,100,1.43,HN,1653241530
Ferme-Neuve,46.7001,-75.4493,51.82,96,100,6.8,CA,1653241530
Coquimbo,-29.9533,-71.3436,60.53,77,0,14.97,CL,1653241531
Caravelas,-17.7125,-39.2481,75.18,63,19,7.81,BR,1653241333
Nemuro,43.3236,145.575,45.72,99,100,12.08,JP,1653241532
Hualmay,-11.0964,-77.6139,69.26,72,78,8.3,PE,1653241533
Baykit,61.67,96.37,48.63,90,4,4.07,RU,1653241533
Kaka,37.3482,59.6143,69.6,31,0,10.04,TM,1653241534
Wanaka,-44.7,169.15,32.11,85,5,2.55,NZ,1653241534
Tessalit,20.1986,1.0114,95.5,15,46,23.13,ML,1653241535
Tsimmerbude,54.675,20.1347,50.05,91,100,11.36,RU,1653241535
Huanren,41.2647,125.3667,56.1,69,20,2.24,CN,1653241535
Arrifes,37.7667,-25.7,62.85,100,75,8.05,PT,1653241536
Kachīry,53.0675,76.1036,54.14,34,62,16.37,KZ,1653241536
Kikwit,-5.041,18.8162,72.99,87,86,3.13,CD,1653241536
Álamos,27.0167,-108.9333,90.97,21,2,6.35,MX,1653241537
Douentza,14.9951,-2.9517,90.25,34,100,4.0,ML,1653241537
Coos Bay,43.3665,-124.2179,54.0,91,20,6.91,US,1653241522
Gladstone,-23.85,151.25,67.93,68,75,10.36,AU,1653241538
Mount Isa,-20.7333,139.5,56.97,82,79,3.44,AU,1653241317
Obihiro,42.9172,143.2044,53.96,89,100,1.1,JP,1653241538
Atherton,53.5237,-2.4935,64.24,69,100,5.99,GB,1653241539
Jinchang,38.4953,102.1739,66.15,38,78,0.98,CN,1653241539
Kincardine,56.0667,-3.7167,60.39,78,94,12.66,GB,1653241523
Rancho Palos Verdes,33.7445,-118.387,63.7,79,40,12.66,US,1653241540
Kamiiso,41.8167,140.65,53.19,95,100,1.88,JP,1653241540
Tura,25.5198,90.2201,72.57,94,83,3.65,IN,1653241393
Nouakchott,18.0858,-15.9785,69.73,83,28,18.37,MR,1653241332
Luau,-10.7073,22.2247,68.07,44,82,5.5,AO,1653241541
Kyrylivka,46.3759,35.3675,60.26,68,81,9.82,UA,1653241541
Lata,40.1629,-8.3327,64.81,70,59,10.76,PT,1653241541
Christchurch,-43.5333,172.6333,40.35,82,10,5.75,NZ,1653241542
Āsosa,10.0667,34.5333,62.64,90,100,4.43,ET,1653241542
Bilibino,68.0546,166.4372,42.24,74,96,4.59,RU,1653241543
Tortolì,39.9256,9.6572,75.02,83,0,8.05,IT,1653241543
Abashiri,44.0213,144.2697,49.57,93,62,5.21,JP,1653241543
Palmer,42.1584,-72.3287,88.9,55,75,9.22,US,1653241419
Qui Nhon,13.7667,109.2333,79.32,83,100,7.74,VN,1653241544
Ashington,50.9331,-0.3909,63.12,58,0,5.75,GB,1653241545
Hailey,43.5196,-114.3153,45.99,76,75,11.5,US,1653241545
Garachiné,8.0647,-78.3628,83.19,77,28,5.64,PA,1653241545
Mangai,-4.05,19.5333,71.35,97,90,1.1,CD,1653241546
Tangshan,39.6333,118.1833,68.45,48,37,6.38,CN,1653241464
Yaan,7.3833,8.5667,80.83,71,93,6.49,NG,1653241546
Wanning,18.8003,110.3967,78.75,91,99,4.25,CN,1653241547
Angoche,-16.2325,39.9086,77.23,78,1,9.57,MZ,1653241547
Flinders,-34.5833,150.8552,55.31,91,98,1.99,AU,1653241387
Lakhdenpokh'ya,61.5198,30.1992,49.57,59,60,5.17,RU,1653241548
Leningradskiy,69.3833,178.4167,31.8,94,100,5.06,RU,1653241548
Geraldton,-28.7667,114.6,64.81,68,40,17.27,AU,1653241549
Tongren,27.7172,109.1853,59.7,96,100,2.46,CN,1653241549
Sisophon,13.5859,102.9737,75.51,90,100,4.99,KH,1653241549
Muriti,-1.9833,32.9167,74.44,63,24,7.14,TZ,1653241550
Cianorte,-23.6633,-52.605,69.01,43,2,6.06,BR,1653241550
Jining,35.405,116.5814,68.56,45,99,7.74,CN,1653241550
Huilong,31.8111,121.655,69.93,76,100,12.59,CN,1653241552
Salinópolis,-0.6136,-47.3561,81.73,79,25,6.89,BR,1653241552
Jovellar,13.0695,123.5999,77.85,90,99,2.08,PH,1653241553
Batagay-Alyta,67.8006,130.4114,25.9,90,50,4.5,RU,1653241553
Saint-Augustin,51.226,-58.6502,53.94,82,92,11.36,CA,1653241554
Talavera,15.6167,120.9333,76.95,90,99,2.84,PH,1653241554
Sorsk,54.0033,90.2467,63.99,45,100,3.31,RU,1653241554
Palimbang,6.2106,124.1894,77.16,88,97,4.9,PH,1653241555
Kamenka,51.3223,42.7678,44.74,95,100,13.42,RU,1653241555
Grand Gaube,-20.0064,57.6608,72.37,77,4,5.01,MU,1653241555
Waddān,29.1614,16.139,80.89,10,0,5.99,LY,1653241556
Norman Wells,65.282,-126.8329,42.84,70,75,3.44,CA,1653241556
China,25.7,-99.2333,90.05,51,34,17.27,MX,1653241556
Slave Lake,55.2834,-114.769,49.98,53,0,4.61,CA,1653241523
Marion,39.7684,-86.1555,63.52,64,100,13.8,US,1653241456
Forchheim,49.7175,11.0588,69.84,67,50,4.52,DE,1653241557
Baj Baj,22.4747,88.1703,84.16,58,67,12.5,IN,1653241557
Sungai Penuh,-2.0833,101.3833,63.77,96,55,1.79,ID,1653241558
Zhoukou,33.6333,114.6333,65.82,68,28,5.03,CN,1653241558
Ginda,30.6945,78.4932,56.71,67,46,7.14,IN,1653241558
Ende,-8.8432,121.6623,75.65,85,75,2.84,ID,1653241559
Russell,32.3502,-85.1999,87.01,48,20,11.5,US,1653241524
Pundaguitan,6.3711,126.1689,81.25,77,75,2.21,PH,1653241559
Aykhal,66.0,111.5,47.66,69,95,4.29,RU,1653241560
Abu Dhabi,24.4667,54.3667,84.96,61,0,8.05,AE,1653241508
Vytegra,61.0064,36.4481,37.38,73,64,6.53,RU,1653241560
Payo,-3.7508,103.6372,73.18,98,82,1.97,ID,1653241561
Mawlaik,23.6333,94.4167,80.17,70,69,1.36,MM,1653241561
Isla Vista,34.4133,-119.861,63.48,59,0,6.91,US,1653241562
Bjørnevatn,69.6672,29.9847,41.34,87,75,8.05,NO,1653241562
Port Keats,-14.25,129.55,74.07,46,58,9.95,AU,1653241563
Nizhniy Kuranakh,58.8353,125.4869,38.52,77,63,2.98,RU,1653241563
Isabela,6.7085,121.9711,78.57,89,100,5.73,PH,1653241564
Kirkenær,60.4564,12.0582,58.05,59,92,5.5,NO,1653241564
Frontera,26.9333,-101.45,69.33,86,100,8.99,MX,1653241565
Vuktyl,63.8567,57.3094,36.5,89,100,10.31,RU,1653241565
Somerset,40.5668,-74.5496,89.42,62,41,4.0,US,1653241566
Chernyshevskiy,63.0128,112.4714,47.64,76,91,2.26,RU,1653241566
Hays,30.0502,-98.0336,73.15,64,92,4.0,US,1653241567
Hambantota,6.1241,81.1185,79.66,85,5,15.79,LK,1653241567
Cabedelo,-6.9811,-34.8339,83.07,78,36,20.02,BR,1653241308
Kaffrine,14.1059,-15.5508,99.9,15,62,10.63,SN,1653241568
Krasnyy Chikoy,50.3643,108.7512,50.81,75,75,1.43,RU,1653241568
Boca do Acre,-8.7522,-67.3978,89.94,44,65,2.17,BR,1653241568
Channel-Port aux Basques,47.5702,-59.1367,48.31,92,100,10.71,CA,1653241280
Arrondissement d'Ajaccio,42.0,8.9167,67.98,78,0,3.44,FR,1653241569
Kahului,20.8947,-156.47,77.31,69,20,14.97,US,1653241570
Vavoua,7.3819,-6.4778,73.02,96,97,4.27,CI,1653241570
Kununurra,-15.7667,128.7333,60.78,82,89,1.14,AU,1653241571
La Paz,-16.5,-68.15,58.98,19,40,16.11,BO,1653241571
Maryborough,-25.5333,152.7,64.11,88,97,6.46,AU,1653241572
Prainha,-1.8,-53.48,83.52,66,44,2.19,BR,1653241573
North Bend,43.4065,-124.2243,54.19,91,20,6.91,US,1653241523
Jilib,0.4883,42.7854,78.71,80,100,10.69,SO,1653241574
Maltahöhe,-24.8333,16.9833,55.58,44,15,7.23,NA,1653241574
Lunsar,8.6833,-12.5333,79.61,88,91,5.03,SL,1653241575
Gölköy,40.6875,37.6178,54.81,92,39,3.4,TR,1653241575
Tanout,14.9709,8.8879,95.76,12,95,6.31,NE,1653241575
Kawalu,-7.3817,108.2082,72.75,97,98,1.59,ID,1653241576
Gouré,13.9835,10.2704,99.01,12,48,11.03,NE,1653241576
Yantarnyy,54.8717,19.9381,49.86,88,100,11.52,RU,1653241577
Mariinsk,56.2139,87.7472,59.76,84,100,11.52,RU,1653241577
Unity,52.4501,-109.1682,56.25,27,29,13.78,CA,1653241578
Kaeo,-35.1,173.7833,55.04,91,100,4.0,NZ,1653241578
Vanimo,-2.6741,141.3028,77.99,87,83,3.69,PG,1653241579
Rizhao,35.4275,119.4553,69.13,51,100,5.3,CN,1653241579
Akim Swedru,5.8938,-1.0164,73.2,91,100,2.71,GH,1653241580
Saravan,39.7196,45.6483,53.13,44,21,2.68,AM,1653241580
Hoceni,46.5392,28.0067,60.93,56,91,8.95,RO,1653241580
Dārāb,28.7519,54.5444,82.9,8,0,11.1,IR,1653241581
San Cristobal,7.7669,-72.225,82.58,40,15,9.75,VE,1653241581
Omboué,-1.5746,9.2618,75.85,85,57,8.72,GA,1653241306
Nokaneng,-19.6667,22.2667,57.25,38,0,5.68,BW,1653241582
Noboribetsu,42.4514,141.1731,51.91,97,100,4.59,JP,1653241582
Karratha,-20.7377,116.8463,78.31,75,100,5.26,AU,1653241583
Batemans Bay,-35.7167,150.1833,55.09,87,93,5.75,AU,1653241583
Kieta,-6.2167,155.6333,78.31,81,29,2.28,PG,1653241583
Chumikan,54.7183,135.315,29.84,98,91,6.87,RU,1653241584
Buta,2.7858,24.73,74.79,81,97,1.72,CD,1653241584
Muaná,-1.5283,-49.2167,86.18,58,39,3.04,BR,1653241585
Southbridge,42.0751,-72.0334,89.89,53,28,3.0,US,1653241585
Sacramento,38.4666,-121.3177,76.08,37,0,4.61,US,1653241139
San Antonio,29.4241,-98.4936,77.61,55,40,12.66,US,1653241424
Kingaroy,-26.5333,151.8333,57.24,94,100,10.36,AU,1653241586
Lakewood,39.7047,-105.0814,50.67,52,69,7.0,US,1653241509
Flic en Flac,-20.2742,57.3631,75.76,73,3,13.65,MU,1653241586
Poopó,-18.3667,-66.9667,50.14,14,12,14.9,BO,1653241587
Afuá,-0.1567,-50.3867,82.15,79,16,3.91,BR,1653241587
Homer,59.6425,-151.5483,52.25,67,100,4.0,US,1653241378
Channahon,41.4295,-88.2287,61.09,50,75,10.36,US,1653241588
Nara,34.6851,135.8049,65.34,82,13,1.28,JP,1653241588
Port-Gentil,-0.7193,8.7815,78.76,83,75,12.66,GA,1653241589
Jilavele,44.7667,26.5333,71.74,58,71,16.04,RO,1653241589
Erdenet,49.0333,104.0833,56.07,39,33,7.09,MN,1653241589
Bonavista,48.6499,-53.1147,52.74,64,98,14.76,CA,1653241590
Lagunas,-5.2269,-75.6753,90.81,45,15,2.86,PE,1653241590
Oktyabr'skiy,54.4815,53.471,40.57,85,94,1.57,RU,1653241591
Cabinda,-5.55,12.2,78.94,78,20,8.05,AO,1653241591
Turbat,26.0023,63.044,95.74,11,0,14.85,PK,1653241591
Kruisfontein,-34.0033,24.7314,56.88,74,97,2.86,ZA,1653241592
Saint-Joseph,-21.3667,55.6167,70.18,77,42,11.77,RE,1653241592
Namatanai,-3.6667,152.4333,79.63,73,85,9.28,PG,1653241592
Kupino,54.3663,77.2981,54.97,33,89,16.8,RU,1653241594
Äänekoski,62.6946,25.818,58.89,25,86,1.34,FI,1653241594
Cap Malheureux,-19.9842,57.6142,72.46,77,1,5.01,MU,1653241595
Huambo,-12.7761,15.7392,62.1,51,48,1.34,AO,1653241595
Mushie,-3.0167,16.9,76.44,83,83,3.47,CD,1653241595
Ilesha,7.1371,5.2583,73.72,95,79,3.04,NG,1653241596
Tigre,-34.426,-58.5796,68.07,58,20,11.5,AR,1653241379
Viedma,-40.8135,-62.9967,59.68,34,98,11.45,AR,1653241596
Staryy Nadym,65.6118,72.6842,46.92,75,99,23.6,RU,1653241597
Kumul,42.8,93.45,79.84,17,94,8.75,CN,1653241597
Lavrentiya,65.5833,-171.0,38.23,74,100,7.65,RU,1653241597
Urubichá,-15.3833,-62.95,83.75,46,89,3.89,BO,1653241598
Bridgetown,13.1,-59.6167,86.49,66,20,20.71,BB,1653241598
